"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31414","test_compare_result_naver_mail","test_services.mail.naver_mail","Mon Nov 25 13:34:15 KST 2024","broken","Mon Nov 25 13:34:47 KST 2024","","test_naver_mail_compare","",""
"","8419","test_naver_pattern_send","test_services.mail.naver_mail","Mon Nov 25 13:24:57 KST 2024","failed","Mon Nov 25 13:25:05 KST 2024","","test_naver_mail_compare","",""
"","14555","test_naver_attach_send","test_services.mail.naver_mail","Mon Nov 25 13:25:14 KST 2024","failed","Mon Nov 25 13:25:29 KST 2024","","test_naver_mail_compare","",""
"","5298","test_naver_login","test_services.mail.naver_mail","Fri Nov 15 15:22:42 KST 2024","passed","Fri Nov 15 15:22:48 KST 2024","","test_naver_mail_total","",""
"","8920","test_naver_normal_send","test_services.mail.naver_mail","Mon Nov 25 13:24:48 KST 2024","failed","Mon Nov 25 13:24:57 KST 2024","","test_naver_mail_compare","",""
"","8473","test_naver_normal_send","test_services.mail.naver_mail","Fri Nov 15 15:22:48 KST 2024","failed","Fri Nov 15 15:22:56 KST 2024","","test_naver_mail_total","",""
"","6875","test_naver_login","test_services.mail.naver_mail","Mon Nov 25 13:24:41 KST 2024","passed","Mon Nov 25 13:24:48 KST 2024","","test_naver_mail_compare","",""
"","14475","test_naver_attach_send","test_services.mail.naver_mail","Fri Nov 15 15:23:13 KST 2024","failed","Fri Nov 15 15:23:28 KST 2024","","test_naver_mail_total","",""
"","8605","test_naver_keyword_send","test_services.mail.naver_mail","Mon Nov 25 13:25:06 KST 2024","failed","Mon Nov 25 13:25:14 KST 2024","","test_naver_mail_compare","",""
"","8400","test_naver_pattern_send","test_services.mail.naver_mail","Fri Nov 15 15:22:56 KST 2024","failed","Fri Nov 15 15:23:05 KST 2024","","test_naver_mail_total","",""
"","8387","test_naver_keyword_send","test_services.mail.naver_mail","Fri Nov 15 15:23:05 KST 2024","failed","Fri Nov 15 15:23:13 KST 2024","","test_naver_mail_total","",""
